corr= 2.048011 	 m = 0.011391 
corr= 1.906391 	 m = 0.016159 
corr= 2.015982 	 m = 0.020210 
corr= 1.991722 	 m = 0.018356 
corr= 1.936791 	 m = 0.018234 
corr= 1.994210 	 m = 0.018394 
corr= 1.958835 	 m = 0.023598 
corr= 2.050589 	 m = 0.022575 
corr= 2.108268 	 m = 0.024513 
corr= 1.892308 	 m = 0.022522 
corr= 2.023160 	 m = 0.018661 
corr= 1.904167 	 m = 0.013947 
corr= 1.876074 	 m = 0.011665 
corr= 2.537477 	 m = 0.010590 
corr= 1.987700 	 m = 0.012329 
corr= 2.156194 	 m = 0.009163 
corr= 1.716502 	 m = 0.009285 
corr= 2.275204 	 m = 0.006371 
corr= 2.082840 	 m = 0.005371 
corr= 2.537736 	 m = 0.004105 
corr= 1.556634 	 m = 0.003670 
corr= 2.547945 	 m = 0.002838 
corr= 1.682353 	 m = 0.001091 
corr= 3.105769 	 m = 0.002464 
corr= 2.125654 	 m = 0.003098 
corr= 1.886435 	 m = 0.004562 
corr= 2.139089 	 m = 0.006805 
corr= 1.839530 	 m = 0.007172 
corr= 2.049904 	 m = 0.008148 
corr= 2.156740 	 m = 0.010498 
corr= 1.967862 	 m = 0.012146 
corr= 2.103966 	 m = 0.014977 
corr= 2.028249 	 m = 0.016434 
corr= 2.036427 	 m = 0.017914 
corr= 1.989039 	 m = 0.017998 
corr= 1.933840 	 m = 0.019402 
corr= 2.178713 	 m = 0.020927 
corr= 1.954293 	 m = 0.024139 
corr= 1.962507 	 m = 0.025558 
corr= 1.944000 	 m = 0.027809 
corr= 1.970899 	 m = 0.028419 
corr= 1.989537 	 m = 0.030464 
corr= 1.993529 	 m = 0.030556 
corr= 2.039109 	 m = 0.028641 
corr= 1.978484 	 m = 0.029465 
corr= 1.993808 	 m = 0.029480 
corr= 1.995340 	 m = 0.032669 
corr= 2.002374 	 m = 0.032173 
corr= 2.066925 	 m = 0.032516 
corr= 2.008337 	 m = 0.033081 
corr= 1.969003 	 m = 0.033440 
corr= 1.989872 	 m = 0.034477 
corr= 2.031224 	 m = 0.036728 
corr= 1.993227 	 m = 0.038170 
corr= 1.996080 	 m = 0.038849 
corr= 2.001920 	 m = 0.039772 
corr= 2.034367 	 m = 0.041550 
corr= 2.010612 	 m = 0.043365 
corr= 2.019792 	 m = 0.044380 
corr= 2.003189 	 m = 0.043129 
corr= 1.982042 	 m = 0.045471 
corr= 2.031136 	 m = 0.046783 
corr= 1.952425 	 m = 0.047905 
corr= 2.029285 	 m = 0.050224 
corr= 1.987265 	 m = 0.050003 
corr= 2.014977 	 m = 0.049271 
corr= 2.018194 	 m = 0.047394 
corr= 2.012755 	 m = 0.048157 
corr= 1.989453 	 m = 0.047493 
