corr= 3.515789 	 m = 0.002548 
corr= 1.551515 	 m = 0.005859 
corr= 2.519362 	 m = 0.008438 
corr= 1.904707 	 m = 0.012657 
corr= 2.147687 	 m = 0.009209 
corr= 2.509217 	 m = 0.008308 
corr= 1.944862 	 m = 0.011841 
corr= 2.139968 	 m = 0.020180 
corr= 1.943012 	 m = 0.021851 
corr= 2.087481 	 m = 0.021118 
corr= 2.080655 	 m = 0.027161 
corr= 1.929025 	 m = 0.027786 
corr= 2.025751 	 m = 0.028809 
corr= 1.891782 	 m = 0.024940 
corr= 2.052854 	 m = 0.022224 
corr= 1.934716 	 m = 0.019218 
corr= 1.903297 	 m = 0.019821 
corr= 1.900366 	 m = 0.019791 
corr= 2.058824 	 m = 0.022964 
corr= 2.013699 	 m = 0.023552 
corr= 1.959507 	 m = 0.025475 
corr= 1.956157 	 m = 0.023148 
corr= 1.964438 	 m = 0.021072 
corr= 1.994165 	 m = 0.020859 
corr= 2.055875 	 m = 0.019089 
corr= 1.944362 	 m = 0.019997 
corr= 1.916541 	 m = 0.019447 
corr= 2.051282 	 m = 0.022583 
corr= 1.942496 	 m = 0.021133 
corr= 2.112490 	 m = 0.020775 
corr= 1.933884 	 m = 0.017853 
corr= 2.074074 	 m = 0.020081 
corr= 1.967347 	 m = 0.018387 
corr= 1.998092 	 m = 0.015976 
corr= 1.917319 	 m = 0.016808 
corr= 2.036442 	 m = 0.014496 
corr= 1.945504 	 m = 0.016342 
corr= 2.025565 	 m = 0.015717 
corr= 1.937562 	 m = 0.014915 
corr= 1.933333 	 m = 0.014603 
corr= 1.903087 	 m = 0.016930 
corr= 2.013359 	 m = 0.016098 
corr= 1.962304 	 m = 0.014297 
corr= 2.079926 	 m = 0.017075 
corr= 1.893805 	 m = 0.016327 
corr= 2.027778 	 m = 0.015594 
corr= 2.024276 	 m = 0.016541 
corr= 2.045815 	 m = 0.017715 
corr= 1.946565 	 m = 0.019455 
corr= 1.995091 	 m = 0.021706 
corr= 1.999185 	 m = 0.018715 
corr= 2.043029 	 m = 0.018112 
corr= 1.998500 	 m = 0.020325 
corr= 1.909357 	 m = 0.019928 
corr= 2.014026 	 m = 0.018623 
corr= 2.018152 	 m = 0.018661 
corr= 2.033579 	 m = 0.018944 
corr= 2.028884 	 m = 0.019829 
corr= 1.955123 	 m = 0.019943 
corr= 1.980137 	 m = 0.022057 
corr= 1.975301 	 m = 0.023796 
corr= 2.013046 	 m = 0.027077 
corr= 2.053797 	 m = 0.024757 
corr= 2.025945 	 m = 0.027405 
corr= 1.980403 	 m = 0.026215 
corr= 2.034611 	 m = 0.029152 
corr= 2.025655 	 m = 0.027710 
corr= 2.007018 	 m = 0.030548 
corr= 2.036309 	 m = 0.030807 
corr= 2.053254 	 m = 0.031769 
corr= 2.024667 	 m = 0.031311 
corr= 2.050769 	 m = 0.030510 
corr= 2.038229 	 m = 0.030914 
corr= 1.913433 	 m = 0.029343 
corr= 1.971104 	 m = 0.029144 
corr= 2.010592 	 m = 0.031860 
corr= 2.041708 	 m = 0.031372 
corr= 1.995790 	 m = 0.032555 
corr= 2.022434 	 m = 0.032326 
corr= 1.944158 	 m = 0.031609 
corr= 2.098855 	 m = 0.030777 
corr= 1.985902 	 m = 0.032242 
corr= 2.003104 	 m = 0.029541 
corr= 1.982292 	 m = 0.029037 
corr= 1.953537 	 m = 0.028229 
corr= 1.970343 	 m = 0.028893 
corr= 2.109505 	 m = 0.028954 
corr= 1.954138 	 m = 0.028282 
corr= 2.022535 	 m = 0.027390 
corr= 1.984833 	 m = 0.028954 
corr= 2.022403 	 m = 0.030304 
corr= 1.996423 	 m = 0.029808 
corr= 1.964110 	 m = 0.030479 
corr= 1.953096 	 m = 0.031769 
corr= 2.014273 	 m = 0.033379 
corr= 2.079150 	 m = 0.035072 
corr= 1.990295 	 m = 0.037552 
corr= 1.972245 	 m = 0.036324 
corr= 2.006353 	 m = 0.036140 
corr= 1.969922 	 m = 0.034477 
corr= 2.014378 	 m = 0.033134 
corr= 2.028074 	 m = 0.031967 
corr= 1.964203 	 m = 0.032234 
corr= 2.014973 	 m = 0.033882 
corr= 1.996429 	 m = 0.034119 
corr= 2.007621 	 m = 0.036179 
corr= 2.005085 	 m = 0.036102 
corr= 2.012119 	 m = 0.039268 
corr= 1.994070 	 m = 0.041046 
corr= 2.013219 	 m = 0.042992 
corr= 1.973729 	 m = 0.044136 
corr= 1.999662 	 m = 0.045128 
corr= 1.977181 	 m = 0.044952 
corr= 1.979218 	 m = 0.042870 
corr= 1.990092 	 m = 0.045975 
corr= 1.962927 	 m = 0.045647 
corr= 2.036156 	 m = 0.047691 
corr= 1.953737 	 m = 0.050262 
corr= 2.034001 	 m = 0.051117 
corr= 1.978129 	 m = 0.052444 
corr= 1.999724 	 m = 0.055321 
corr= 1.999729 	 m = 0.056328 
corr= 2.015331 	 m = 0.057167 
corr= 1.985729 	 m = 0.057327 
corr= 2.029041 	 m = 0.056503 
corr= 1.964549 	 m = 0.054962 
corr= 2.003244 	 m = 0.056534 
corr= 1.954627 	 m = 0.057846 
corr= 2.026532 	 m = 0.058273 
corr= 2.003512 	 m = 0.056587 
corr= 2.007740 	 m = 0.059372 
corr= 1.987720 	 m = 0.056808 
corr= 2.003814 	 m = 0.056122 
corr= 2.019395 	 m = 0.059578 
corr= 1.975478 	 m = 0.061462 
corr= 2.010406 	 m = 0.061905 
corr= 1.985407 	 m = 0.065392 
corr= 1.978933 	 m = 0.064499 
corr= 2.005420 	 m = 0.067749 
corr= 1.990726 	 m = 0.067146 
corr= 2.003713 	 m = 0.069984 
corr= 2.019154 	 m = 0.069168 
corr= 1.993335 	 m = 0.068451 
corr= 2.010314 	 m = 0.066917 
corr= 2.000000 	 m = 0.066071 
corr= 2.002490 	 m = 0.067482 
corr= 2.007906 	 m = 0.067818 
corr= 2.005492 	 m = 0.066864 
