corr= 3.067039 	 m = 0.004189 
corr= 1.841509 	 m = 0.007446 
corr= 1.751669 	 m = 0.010010 
corr= 2.049596 	 m = 0.013557 
corr= 2.084572 	 m = 0.017113 
corr= 1.982691 	 m = 0.019226 
corr= 1.939394 	 m = 0.019043 
corr= 2.150473 	 m = 0.019081 
corr= 1.984870 	 m = 0.021019 
corr= 1.967329 	 m = 0.023430 
corr= 2.056414 	 m = 0.023361 
corr= 1.977470 	 m = 0.026115 
corr= 1.985059 	 m = 0.029396 
corr= 2.024320 	 m = 0.032387 
corr= 1.967086 	 m = 0.031006 
corr= 2.057674 	 m = 0.032120 
corr= 2.010860 	 m = 0.035316 
corr= 2.031557 	 m = 0.036346 
corr= 1.953408 	 m = 0.038704 
corr= 2.035250 	 m = 0.041847 
corr= 1.990909 	 m = 0.040100 
corr= 1.997883 	 m = 0.043198 
corr= 1.967720 	 m = 0.043716 
corr= 2.000317 	 m = 0.048073 
corr= 1.953565 	 m = 0.049751 
corr= 2.054717 	 m = 0.049850 
corr= 1.973099 	 m = 0.051483 
corr= 1.996839 	 m = 0.053017 
corr= 1.972427 	 m = 0.055122 
corr= 2.026723 	 m = 0.054970 
corr= 2.034386 	 m = 0.055519 
corr= 2.012316 	 m = 0.057343 
corr= 1.995684 	 m = 0.059975 
corr= 2.006733 	 m = 0.061394 
corr= 2.003879 	 m = 0.063065 
corr= 2.004866 	 m = 0.062866 
corr= 2.003265 	 m = 0.060860 
corr= 2.004055 	 m = 0.064095 
corr= 2.006962 	 m = 0.065979 
corr= 2.019341 	 m = 0.070099 
corr= 2.023740 	 m = 0.074142 
corr= 2.006414 	 m = 0.076370 
corr= 2.013688 	 m = 0.083054 
corr= 1.967113 	 m = 0.083969 
corr= 1.984122 	 m = 0.089615 
corr= 2.006310 	 m = 0.092178 
corr= 2.001170 	 m = 0.091347 
corr= 2.018250 	 m = 0.090279 
corr= 2.003231 	 m = 0.089882 
corr= 1.988670 	 m = 0.092400 
corr= 1.979524 	 m = 0.095146 
corr= 1.988075 	 m = 0.096664 
corr= 1.992833 	 m = 0.095467 
corr= 2.001916 	 m = 0.095657 
corr= 1.993840 	 m = 0.096306 
corr= 1.986513 	 m = 0.094391 
corr= 1.994600 	 m = 0.098625 
corr= 1.987394 	 m = 0.099831 
corr= 2.005542 	 m = 0.099396 
corr= 1.993091 	 m = 0.099037 
corr= 2.009588 	 m = 0.102341 
corr= 1.974674 	 m = 0.105293 
corr= 2.001140 	 m = 0.107162 
corr= 2.010889 	 m = 0.109894 
corr= 1.974540 	 m = 0.111237 
corr= 1.993185 	 m = 0.113808 
corr= 1.992533 	 m = 0.114014 
corr= 2.011267 	 m = 0.115761 
corr= 1.990304 	 m = 0.117455 
corr= 2.004405 	 m = 0.118027 
corr= 2.003163 	 m = 0.120781 
corr= 2.001885 	 m = 0.121529 
corr= 1.993984 	 m = 0.121384 
corr= 2.001852 	 m = 0.123711 
corr= 1.989657 	 m = 0.124748 
corr= 1.992442 	 m = 0.124695 
corr= 2.009265 	 m = 0.127403 
corr= 2.016256 	 m = 0.128693 
corr= 2.007550 	 m = 0.129837 
corr= 1.982539 	 m = 0.130806 
corr= 2.003697 	 m = 0.132309 
corr= 2.003489 	 m = 0.131424 
corr= 2.006899 	 m = 0.133163 
corr= 2.009653 	 m = 0.135017 
corr= 1.998566 	 m = 0.138268 
corr= 2.000651 	 m = 0.140686 
corr= 2.007924 	 m = 0.141121 
corr= 2.005619 	 m = 0.144325 
corr= 2.024308 	 m = 0.146133 
corr= 1.998445 	 m = 0.147087 
corr= 1.991905 	 m = 0.150192 
corr= 1.998572 	 m = 0.149460 
corr= 1.987805 	 m = 0.150475 
corr= 1.997582 	 m = 0.151260 
corr= 2.003133 	 m = 0.151222 
corr= 2.010630 	 m = 0.150085 
corr= 1.990919 	 m = 0.150543 
corr= 1.989382 	 m = 0.151520 
corr= 2.001919 	 m = 0.151207 
corr= 2.009662 	 m = 0.152344 
corr= 2.000098 	 m = 0.155190 
corr= 2.005706 	 m = 0.155533 
corr= 1.996020 	 m = 0.156883 
corr= 2.009181 	 m = 0.158607 
corr= 2.000193 	 m = 0.158493 
corr= 1.997835 	 m = 0.161964 
corr= 1.997266 	 m = 0.161644 
corr= 2.005957 	 m = 0.164413 
corr= 2.007531 	 m = 0.164742 
corr= 1.997303 	 m = 0.163826 
corr= 1.996548 	 m = 0.163261 
corr= 1.997500 	 m = 0.164558 
corr= 1.996685 	 m = 0.165451 
corr= 2.002998 	 m = 0.168205 
corr= 2.001183 	 m = 0.167809 
corr= 2.009222 	 m = 0.169556 
corr= 1.994435 	 m = 0.169540 
corr= 2.010074 	 m = 0.170502 
corr= 1.998101 	 m = 0.168541 
corr= 1.999006 	 m = 0.168785 
corr= 2.001000 	 m = 0.167885 
corr= 2.004418 	 m = 0.169594 
corr= 2.001525 	 m = 0.170235 
corr= 1.995579 	 m = 0.172180 
corr= 1.993633 	 m = 0.172012 
corr= 1.992568 	 m = 0.169777 
corr= 2.007597 	 m = 0.169357 
corr= 1.994569 	 m = 0.170921 
corr= 1.999010 	 m = 0.169380 
corr= 1.998293 	 m = 0.169670 
corr= 2.007557 	 m = 0.168221 
corr= 1.979799 	 m = 0.168236 
corr= 2.007708 	 m = 0.170898 
corr= 2.004253 	 m = 0.172592 
